,carat,cut,color,clarity,depth,table,x,y,z,clarity_num,color_num,cut_num,carat_log,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,2.0,2.0,3.0,-0.09431067947124129,3933.6415915639755
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,4.0,4.0,2.0,-0.9675840262617056,3933.6415915639755
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,4.0,2.0,5.0,-0.6539264674066639,3933.6415915639755
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,3.0,3.0,5.0,0.09531017980432493,3933.6415915639755
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,2.0,3.0,5.0,0.8241754429663494,3933.6415915639755
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,4.0,0.0,3.0,0.6981347220709843,3933.6415915639755
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,2.0,3.0,5.0,0.058268908123975824,3933.6415915639755
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,1.0,5.0,4.0,-0.35667494393873245,3933.6415915639755
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,4.0,1.0,4.0,-0.31471074483970024,3933.6415915639755
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,7.0,2.0,5.0,-0.31471074483970024,3933.6415915639755
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,4.0,6.0,2.0,0.0,3933.6415915639755
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,6.0,3.0,5.0,-1.1086626245216111,3933.6415915639755
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,6.0,0.0,5.0,-0.616186139423817,3933.6415915639755
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,4.0,6.0,5.0,-1.1086626245216111,3933.6415915639755
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,4.0,6.0,1.0,-0.6733445532637656,3933.6415915639755
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1.0,5.0,5.0,-0.6733445532637656,3933.6415915639755
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,1.0,1.0,2.0,-1.2039728043259361,3933.6415915639755
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,2.0,2.0,2.0,0.9783261227936078,3933.6415915639755
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,1.0,4.0,4.0,-0.08338160893905101,3933.6415915639755
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,7.0,3.0,5.0,-1.2039728043259361,3933.6415915639755
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,1.0,2.0,3.0,0.0,3933.6415915639755
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,3.0,4.0,3.0,-1.0788096613719298,3933.6415915639755
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,2.0,4.0,3.0,0.009950330853168092,3933.6415915639755
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,3.0,4.0,5.0,-0.13926206733350766,3933.6415915639755
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,2.0,6.0,4.0,0.23111172096338664,3933.6415915639755
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,3.0,5.0,4.0,-0.9675840262617056,3933.6415915639755
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,6.0,4.0,5.0,-0.5978370007556204,3933.6415915639755
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,1.0,3.0,4.0,-0.4307829160924542,3933.6415915639755
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,6.0,6.0,4.0,-0.8915981192837836,3933.6415915639755
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,0.0,1.0,3.0,-0.35667494393873245,3933.6415915639755
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,3.0,1.0,3.0,0.02955880224154443,3933.6415915639755
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,6.0,4.0,5.0,-1.0788096613719298,3933.6415915639755
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,5.0,1.0,5.0,-0.31471074483970024,3933.6415915639755
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,2.0,6.0,5.0,-0.18632957819149348,3933.6415915639755
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,1.0,3.0,3.0,-0.6733445532637656,3933.6415915639755
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,4.0,5.0,5.0,0.058268908123975824,3933.6415915639755
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,3.0,6.0,5.0,-0.8915981192837836,3933.6415915639755
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,4.0,4.0,5.0,0.02955880224154443,3933.6415915639755
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,1.0,6.0,5.0,-1.1394342831883648,3933.6415915639755
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,3.0,0.0,4.0,-1.2039728043259361,3933.6415915639755
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,6.0,6.0,3.0,-1.1394342831883648,3933.6415915639755
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,3.0,3.0,5.0,-1.1086626245216111,3933.6415915639755
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,3.0,3.0,5.0,-1.3862943611198906,3933.6415915639755
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,3.0,4.0,5.0,-1.2039728043259361,3933.6415915639755
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,7.0,4.0,3.0,0.23111172096338664,3933.6415915639755
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,3.0,0.0,5.0,0.131028262406404,3933.6415915639755
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,1.0,2.0,4.0,0.412109650826833,3933.6415915639755
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,2.0,5.0,3.0,-0.6733445532637656,3933.6415915639755
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,7.0,3.0,5.0,-1.1394342831883648,3933.6415915639755
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,2.0,5.0,4.0,-0.06187540371808753,3933.6415915639755
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,4.0,5.0,4.0,-0.6733445532637656,3933.6415915639755
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,2.0,2.0,5.0,0.11332868530700327,3933.6415915639755
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,2.0,3.0,4.0,0.28517894223366247,3933.6415915639755
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,4.0,2.0,4.0,-1.1394342831883648,3933.6415915639755
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,4.0,5.0,5.0,-0.35667494393873245,3933.6415915639755
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,5.0,2.0,5.0,0.30010459245033816,3933.6415915639755
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,4.0,4.0,2.0,-1.4696759700589417,3933.6415915639755
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,0.0,4.0,3.0,-0.10536051565782628,3933.6415915639755
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,1.0,6.0,5.0,0.02955880224154443,3933.6415915639755
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,2.0,5.0,2.0,0.01980262729617973,3933.6415915639755
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,6.0,2.0,5.0,-0.5978370007556204,3933.6415915639755
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,7.0,5.0,5.0,-1.0788096613719298,3933.6415915639755
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,6.0,6.0,4.0,-0.342490308946776,3933.6415915639755
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,1.0,3.0,2.0,-0.5978370007556204,3933.6415915639755
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,4.0,3.0,5.0,-0.616186139423817,3933.6415915639755
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,7.0,2.0,5.0,0.20701416938432612,3933.6415915639755
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,5.0,5.0,4.0,-1.3093333199837622,3933.6415915639755
