,carat,cut,color,clarity,depth,table,x,y,z,clarity_num,color_num,cut_num,carat_log,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,2.0,2.0,3.0,-0.09431067947124129,2937.946328428795
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,4.0,4.0,2.0,-0.9675840262617056,845.2504261059739
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,4.0,2.0,5.0,-0.6539264674066639,1395.7632324156627
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,3.0,3.0,5.0,0.09531017980432493,6827.231530871407
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,2.0,3.0,5.0,0.8241754429663494,17775.406190342877
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,4.0,0.0,3.0,0.6981347220709843,14152.449228362228
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,2.0,3.0,5.0,0.058268908123975824,4324.679321718373
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,1.0,5.0,4.0,-0.35667494393873245,2563.7328082484223
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,4.0,1.0,4.0,-0.31471074483970024,2354.312538101611
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,7.0,2.0,5.0,-0.31471074483970024,3653.8981653577466
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,4.0,6.0,2.0,0.0,6258.232445221395
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,6.0,3.0,5.0,-1.1086626245216111,782.9117302672322
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,6.0,0.0,5.0,-0.616186139423817,1479.458865358653
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,4.0,6.0,5.0,-1.1086626245216111,842.6735269144237
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,4.0,6.0,1.0,-0.6733445532637656,1707.0763051143788
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1.0,5.0,5.0,-0.6733445532637656,1451.0074706552887
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,1.0,1.0,2.0,-1.2039728043259361,381.47888527056404
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,2.0,2.0,2.0,0.9783261227936078,20676.736272057446
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,1.0,4.0,4.0,-0.08338160893905101,4028.4827239644187
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,7.0,3.0,5.0,-1.2039728043259361,794.7073417783957
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,1.0,2.0,3.0,0.0,4040.99339118779
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,3.0,4.0,3.0,-1.0788096613719298,756.9118495417113
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,2.0,4.0,3.0,0.009950330853168092,3924.394431388887
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,3.0,4.0,5.0,-0.13926206733350766,4776.060669969962
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,2.0,6.0,4.0,0.23111172096338664,6690.586955620492
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,3.0,5.0,4.0,-0.9675840262617056,1051.7481368459469
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,6.0,4.0,5.0,-0.5978370007556204,2288.115256993919
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,1.0,3.0,4.0,-0.4307829160924542,1964.8016742755524
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,6.0,6.0,4.0,-0.8915981192837836,1566.865985783974
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,0.0,1.0,3.0,-0.35667494393873245,1271.7426238522933
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,3.0,1.0,3.0,0.02955880224154443,4757.715299532158
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,6.0,4.0,5.0,-1.0788096613719298,916.0926537417147
