,carat,cut,color,clarity,depth,table,x,y,z,clarity_num,color_num,cut_num,carat_log,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,2.0,2.0,3.0,-0.09431067947124129,4804.54488753274
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,4.0,4.0,2.0,-0.9675840262617056,692.5452333905073
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,4.0,2.0,5.0,-0.6539264674066639,1778.7338212771347
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,3.0,3.0,5.0,0.09531017980432493,6278.657971093165
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,2.0,3.0,5.0,0.8241754429663494,15433.676068994737
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,4.0,0.0,3.0,0.6981347220709843,13338.883792356242
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,2.0,3.0,5.0,0.058268908123975824,5968.318374554127
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,1.0,5.0,4.0,-0.35667494393873245,3175.262005702799
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,4.0,1.0,4.0,-0.31471074483970024,3408.016703107076
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,7.0,2.0,5.0,-0.31471074483970024,3408.016703107076
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,4.0,6.0,2.0,0.0,5502.808979745572
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,6.0,3.0,5.0,-1.1086626245216111,304.6207377167116
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,6.0,0.0,5.0,-0.616186139423817,1933.9036195466533
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,4.0,6.0,5.0,-1.1086626245216111,304.6207377167116
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,4.0,6.0,1.0,-0.6733445532637656,1701.1489221423758
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1.0,5.0,5.0,-0.6733445532637656,1701.1489221423758
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,1.0,1.0,2.0,-1.2039728043259361,71.86604031243405
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,2.0,2.0,2.0,0.9783261227936078,18381.902236115588
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,1.0,4.0,4.0,-0.08338160893905101,4882.1297866674995
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,7.0,3.0,5.0,-1.2039728043259361,71.86604031243405
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,1.0,2.0,3.0,0.0,5502.808979745572
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,3.0,4.0,3.0,-1.0788096613719298,382.2056368514709
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,2.0,4.0,3.0,0.009950330853168092,5580.393878880332
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,3.0,4.0,5.0,-0.13926206733350766,4494.205290993704
